path	filename	aocr:verbatimInstitution	aocr:verbatimScientificName	dwc:associatedTaxa	dwc:catalogNumber	dwc:country	dwc:county	dwc:datasetName	dwc:dateIdentified	dwc:decimalLatitude	dwc:decimalLongitude	dwc:eventDate	dwc:fieldNotes	dwc:habitat	dwc:identifiedBy	dwc:municipality	dwc:occurrenceRemarks	dwc:recordedBy	dwc:recordNumber	dwc:scientificName	dwc:sex	dwc:stateProvince	dwc:substrate	dwc:verbatimCoordinates	dwc:verbatimElevation	dwc:verbatimEventDate	dwc:verbatimLatitude	dwc:verbatimLocality	dwc:verbatimLongitude
ACIS/Data/parsed/ent	EMEC609987_Aphilanthops_foxi.csv	U.C. Berkeley			EMEC 609,987		Riverside					1952-04-29						P. D. Hurd				California				IV-29-52		Hopkins Well  Riverside Co.  Calif.	
ACIS/Data/parsed/ent	EMEC609944_Stigmus_sp.csv	U.C. Berkeley			EMEC 609,944	Costa Rica						1976-06-31	Malaise Trap					M.Wasbauer								31-VI-1976		COSTA RICA: Cartago  Turrialba IICA	
ACIS/Data/parsed/ent	EMEC609900_Stigmus_sp.csv	U.C. Berkeley			EMEC 609,900		Clay					1980-05-22	Collected at  malaise trap					J.R.Powers				Minnesota				V-22-1980		Moorhead, Minn.  Clay County	
ACIS/Data/parsed/ent	EMEC609515_Cerceris_compacta.csv	U.C. Berkeley	Cerceris compacta compacta Cr.		EMEC 609,515				62						H.A.Scullen						female					7-17-32		Phoenix Ariz.	
ACIS/Data/parsed/ent	EMEC609880_Cerceris_convergens.csv	U.C. Berkeley			EMEC 609,880		Cochise					1978-09-04						R.E.Coville				Arizona			4100'	4-IX-1978		Ariz.:Cochise Co.  Stateline Rd.,1 mi.  NW Rodeo, N. Mex.,  4100'	
ACIS/Data/parsed/ent	EMEC609836_Cerceris_convergens.csv	U.C. Berkeley	Cerceris convergens V.& C.		EMEC 609,836		Riverside		55			1952-04-29			H.A.Scullen			G. A. Marsh			male	California				IV-29-52		Hopkins Well  Riverside Co.  Calif.	
ACIS/Data/parsed/ent	EMEC609686_Cerceris_conifrons.csv	U.C. Berkeley			EMEC 609,686		Cochise					1977-08-26						R. E. Coville				Arizona				26-VIII-1977		Ariz.: Cochise  Co., 6.5 mi. SE  Portal	
ACIS/Data/parsed/ent	EMEC609933_Stigmus_sp.csv	U.C. Berkeley			EMEC 609,933		Cochise					1973-08-2/3	on  Melilotus					R. Coville				Arizona			4800' el.	VIII-2/3-1973		ARIZ: Cochise Co.,  Stewart Camp, 2mi SW  Portal 4800' el.	
ACIS/Data/parsed/ent	EMEC609742_Cerceris_convergens.csv	U.C. Berkeley	Cerceris convergens		EMEC 609,742		Santa Barbara		1981			1978-09-26			Menke			R.Coville				California				IX-26 1978		CAL:Sta.Barb.Co.  Sta.Cruz Is.  Central Vy.	
ACIS/Data/parsed/ent	EMEC609795_Cerceris_convergens.csv	U.C. Berkeley	Cerceris convergens V.& C.		EMEC 609,795		San Diego		60			1953-07-22			H.A.Scullen			R. S. Beal			male	California				VI-22-53		Borrego  San Diego Co.  Calif.	
ACIS/Data/parsed/ent	EMEC609908_Stigmus_sp.csv	U.C. Berkeley			EMEC 609,908		Humboldt					1976-05-23						R.Dietz,  J.Hafernik				California				V-23-76		CALIF:Humboldt Co.  3 mi. N Garberville	
