path	filename	aocr:verbatimInstitution	aocr:verbatimScientificName	dwc:associatedTaxa	dwc:catalogNumber	dwc:country	dwc:county	dwc:datasetName	dwc:dateIdentified	dwc:decimalLatitude	dwc:decimalLongitude	dwc:eventDate	dwc:fieldNotes	dwc:habitat	dwc:identifiedBy	dwc:municipality	dwc:occurrenceRemarks	dwc:recordedBy	dwc:recordNumber	dwc:scientificName	dwc:sex	dwc:stateProvince	dwc:substrate	dwc:verbatimCoordinates	dwc:verbatimElevation	dwc:verbatimEventDate	dwc:verbatimLatitude	dwc:verbatimLocality	dwc:verbatimLongitude
ACIS/Data/parsed/herb	NY_00413589.csv	NEW YORK BOTANICAL GARDEN	Myriophyllum aquaticum (Vell.) Verdc.		00413589	DOMINICA		PLANTS OF DOMINICA, LESSER ANTILLES	1993-09			1993-03-10	Locally common, partly submersed, partly erect emergent herb.		S.R.Hill			Steven R. Hill	24713	Myriophyllum aquaticum (Vell.) Verdc.		ST. PAUL PARISH			300 ft.	10 March 1993		ST. PAUL PARISH. Morne Daniel Road above Canefield, above partially built hotel. Canefield, elevation ca. 300 ft.	
ACIS/Data/parsed/herb	NY_01334349.csv	The New York Botanical Garden	Buchnera longifolia HBK		01334349	DOMINICAN REPUBLIC		PLANTS OF THE DOMINICAN REPUBLIC	1989-01			1922-04-05/1922-04-17			T. Zanoni			W. L. ABBOTT	2217	Buchnera longifolia Kunth		Provincia Pacificador			400 to 1000 meters	April 5-17,1922		Vicinity of San Francisco de Macorís, Provincia Pacificador; altitude 400 to 1000 meters	
ACIS/Data/parsed/herb	NY_01334438.csv	JARDIN BOTANICO NACIONAL "DR. RAFAEL M. MOSCOSO" SANTO DOMINGO, REPUBLICA DOMINICANA	Capraria biflora L.		01334438	Rep. Dominicana			1996-07-30			1985-01-23	Herbácea de 25-35cm; flores con la corola blanca, frutos verdes.		J. Williams & B.L. Turner			R. García, F. Jimenez	349	Capraria biflora L.		Distrito Nacional				23 Ene, 1985		Rep. Dominicana: Distrito Nacional; Ciudad de Santo Domingo; Jardín Botánico Nacional, en el área del "Herbolario".	
ACIS/Data/parsed/herb	NY_00819601.csv	Missouri Botanical Garden	Ludwigia sect. Oligospermum		00819601	Porto Rico		WEST INDIAN EXPLORATION 1913	1980			1913-03-13	In water.		T.P. Ramamoorthy			J. A. Shafer	1971	Jussiaea diffusa Forssk						MARCH 13, 1913		Guayanilla to Tallahoa, Porto Rico	
ACIS/Data/parsed/herb	NY_01498144.csv	Herbarium FAIRCHILD TROPICAL GARDEN	Polypremum procumbens L.		01498144	BAHAMA ISLANDS		PLANTS OF BAHAMA ISLANDS				1975-05-25	in open gravelly soil					D.S. Correll	45431	Polypremum procumbens L.						May 25, 1975		Grand Bahama: in open gravelly soil near Rand Memorial Nature Center, Freeport.	
ACIS/Data/parsed/herb	NY_01334493.csv	JARDIN BOTANICO DR. RAFAEL M. MOSCOSO SANTO DOMINGO REPUBLICA DOMINICANA	Linosella subulata Ives.		01334493	REPUBLICA DOMINICANA			1975			1975-01-20	Herbácea acaule; las flores verdosas.		R. Lowden			R. Lowden	22351	Limosella subulata E. Ives					2100 m.	20 enero 1975		En un charco, Valle Nuevo, San José de Ocoa. Altura 2100 m.	
ACIS/Data/parsed/herb	NY_01334450.csv	Atkins Institution of the Arnold Arboretum	Capraria biflora L.		01334450	CUBA		PLANTS OF CUBA	1996-07-30			1941-08	Herb in wet ditches.		J. Williams & B.L. Turner			R.A.Howard	6581	Capraria biflora L.		Santa Clara				Aug. 1941		Dolores pasture. Vicinity of Soledad	
ACIS/Data/parsed/herb	NY_00040904.csv	The New York Botanical Garden INSTITUTE OF ECONOMIC BOTANY	Anthurium hookeri Kunth		40904	Dominica		Plants of Commonwealth of Dominica	1993			1992-05-11	Advanced secondary montane rainforest. Herb, terrestrial, forming a rosette; leaves 1.3m long x 0.35m wide; roots also growing upward in debris between leaves.		T. Croat			Eirik Stijfhoorn	776	Anthurium hookeri Kunth		St. George			765m	May 11, 1992	15º19'N	WEST INDIES, Dominica. St. George. Above new steel bridge on road to Freshwater Lake.	61º19'W
ACIS/Data/parsed/herb	NY_01498027.csv	NEW YORK BOTANICAL GARDEN	Linociera ligustrina Sw.		01498027	Cuba		Plantae Cubenses Wrightianae.				1856/1857	united at base					C. WRIGHT	409							1856-7		in Cuba Orientali	
ACIS/Data/parsed/herb	NY_01498166.csv	HERBARIUM CARNEGIE MUSEUM (CM), PITTSBURGH, PA.	Spigelia anthelmia L.		01498166	ST. LUCIA		PLANTS OF ST. LUCIA	2001-05-31			1991-06-24	Fruits green.		F.J. FERNÁNDEZ CASAS			Sue A. Thompson	8670	Spigelia anthelmia L.					50 m.	24 June 1991	13-56N	ST. LUCIA: Anse La Raye: 1 km SSW of Anse La Raye: Anse Galet valley. 13-56N, 61-03W. Alt. 50 m. River valley.	61-03W
