path	filename	aocr:verbatimInstitution	aocr:verbatimScientificName	dwc:associatedTaxa	dwc:catalogNumber	dwc:country	dwc:county	dwc:datasetName	dwc:dateIdentified	dwc:decimalLatitude	dwc:decimalLongitude	dwc:eventDate	dwc:fieldNotes	dwc:habitat	dwc:identifiedBy	dwc:municipality	dwc:occurrenceRemarks	dwc:recordedBy	dwc:recordNumber	dwc:scientificName	dwc:sex	dwc:stateProvince	dwc:substrate	dwc:verbatimCoordinates	dwc:verbatimElevation	dwc:verbatimEventDate	dwc:verbatimLatitude	dwc:verbatimLocality	dwc:verbatimLongitude
ACIS/Data/parsed/lichens	NY01075823_lg.csv	NEW YORK BOTANICAL GARDEN	Arthopyrenia majuscula (Nyl.) Zahlbr. Arthopyrenia cinchonae (Ach.) Müll. Arg.		01075823	USA	Franklin	Lichens of Cape St. George	2003	29.583	-85.05	1998-05-26		on Ilex cassine at pond edge	Richard C. Harris	Cape St. George		R. Yahr	4486	Arthopyrenia cinchonae (Ach.) Müll. Arg.		Florida	on Ilex cassine	29°35'N, 85°03'W		May 26, 1998	29°35'N	Little St. George Island, Cape St. George. 29°35'N, 85°03'W. In stable backdunes and swales of barrier island.	85°03'W
ACIS/Data/parsed/lichens	TENN-L-0000080_lg.csv	University of Tennessee (TENN)	Alectoria nidulifera Norrl.		TENN-L-0000080	USA	Randolph	LICHENES AMERICANI EXSICCATI				1956-07		On Pinus resinosa in the high mountains.				M. E. Hale		Alectoria nidulifera Norrl.		West Virginia	On Pinus resinosa			July, 1956		at Spruce Knob Lake	
ACIS/Data/parsed/lichens	TENN-L-0000083_lg.csv	University of Tennessee (TENN)	Alectoria nidulifera Norrl.		TENN-L-0000083	Canada		LICHENS OF ONTARIO				1957-08-01		On Betula	H. A. Sierk			H. A. Sierk	599	Alectoria nidulifera Norrl.		ONTARIO	On Betula			August l, 1957		Carp River on Hwy. 17	
ACIS/Data/parsed/lichens	WIS-L-0011735_lg.csv		Cetraria islandica (L.) Ach.			Canada			1974-10	48.4	-86.183	1974-08-16		On sandy beach in exposed area often with Juniperus horizontalis	H.L. Dickson			C.E. Garton	16199	Cetraria islandica (L.) Ach.			On sandy beach	48° 24' 86° 11'		16 Aug. 1974	48° 24'	Fisherman's beach at Oiseau Bay PUKASKWA NATIONAL PARK	86° 11'
ACIS/Data/parsed/lichens	TENN-L-0000009_lg.csv	University of Tennessee (TENN)	ACAROSPORA SMARAGDULA STRIGATA		TENN-L-0000009	U.S.A.	WAYNE					1951-05-19		ON HARD SAND- STONE FRAGMENTS WEATHERED OUT OF THE BEDROCK				S. FLOWERS	358	ACAROSPORA SMARAGDULA STRIGATA		UTAH	ON HARD SAND- STONE FRAGMENTS		6000 FT.	19 MAY 1951		EKKERS RANCH, 3 MI S OF THE RANCH HOUSE ON BRINK OF CHASM OF FREMONT RIVER, 6000 FT.	
ACIS/Data/parsed/lichens	WIS-L-0012086_lg.csv		Cetraria delisei (Bory) Th. Fr.			USA		FLORA of ALASKA	1998	60.552	-172.927	1997-07-18		On humus of eroding streamlet bank on terrace above beach	John W. Thomson			Stephen & Sandra Talbot	SM97-001	Cetraria delisei (Bory) Th. Fr.		ALASKA	On humus	60° 33.130' N 172° 55.612' W	13 m	18 July 1997	60° 33.130' N	Glory of Russia Cape area, St. Matthew Island, Alaska Quad. Map St. Matthew, Alaska Quad.	172° 55.612' W
ACIS/Data/parsed/lichens	NY01075819_lg.csv	NEW YORK BOTANICAL GARDEN	Arthopyrenia cinchonae (Ach.) Müll. Arg.		01075819	U.S.A.	Bradford	CRYPTOGAMS OF FLORIDA		30.067	-82.15	1994-12-03		pine scrub around Taxodium swamp.				William R. Buck	27355	Arthopyrenia cinchonae (Ach.) Müll. Arg.		FLORIDA		30°04'N, 82°09'W		3 December 1994	30°04'N	Lake Butler Wildlife Management Area, Raiford Tract, along Co. Rd. 125, 6.1 mi ENE of US 301 at Lawtey, 30°04’N, 82°09’W	82°09'W
ACIS/Data/parsed/lichens	TENN-L-0000036_lg.csv	University of Tennessee (TENN)	Actinogyra mühlenbergii (Ach.) Schol.		TENN-L-0000036	USA	Jackson	LICHENS OF NORTH CAROLINA				1956-11-03		siliceous rock	H.A. Sierk			H. A. Sierk	SNC4	Actinogyra mühlenbergii (Ach.) Schol.		NORTH CAROLINA	siliceous rock		4900'	Nov. 3, 1956		Top of Whiteside Mountain	
ACIS/Data/parsed/lichens	TENN-L-0000064_lg.csv	University of Tennessee (TENN)	Alectoria jubata (L.) Ach.		TENN-L-0000064	Canada		LICHENS OF ONTARIO				1957-08-01		on Pinus resinosus	H. A. Sierk			H. A. Sierk	623	Alectoria jubata (L.) Ach.		ONTARIO	on Pinus resinosus			August 1, 1957		Agawa Bay	
ACIS/Data/parsed/lichens	WIS-L-0012049_lg.csv		Cetraria laevigata Rassad.			USA		FLORA of ALASKA	1998	60.558	-172.946	1997-07-19		On mosses in rocky talus slope interspersed with Empetrum nigrum-Salix arctica heath	John W. Thomson			Stephen & Sandra Talbot	SM97-110	Cetraria laevigata Rassad.		ALASKA	On mosses	60° 33.458'N 172° 56.761'W	100 m	19 July 1997	60° 33.458'N	Glory of Russia Cape area, St. Matthew Island, Alaska Quad. Map St. Matthew, Alaska Quad.	172° 56.761'W
ACIS/Data/parsed/lichens	NY01075785_lg.csv	NEW YORK BOTANICAL GARDEN	Arthopyrenia cinchonae (Ach.) Müll. Arg.		01075785	U.S.A.	Escambia	Lichens of Alabama		31.247	-87.496	2007-04-12		on Liriodendron hardwood bottom				Richard C. Harris	53345	Arthopyrenia cinchonae (Ach.) Müll. Arg.		Alabama	on Liriodendron	31°14'50"N, 87°29'47"W		12 April 2007	31°14'50"N	Little River State Forest, W of SR 21, 1.7 mi N of Huxford at CR 30, 31°14'50"N, 87°29'47"W	87°29'47"W
ACIS/Data/parsed/lichens	TENN-L-0000016_lg.csv	University of Tennessee (TENN)	Actinogyra muhlenbergii (Ach.) Scholander		TENN-L-0000016	USA	Sevier	FLORA OF TENNESSEE				1963-05-17		conglomerate	Barbara Moore			Barbara Moore	433	Actinogyra muhlenbergii (Ach.) Scholander		TENNESSEE	conglomerate			17 May 1963		GSMNP between Cherokee Orchard & Rainbow Falls	
ACIS/Data/parsed/lichens	TENN-L-0000047_lg.csv	University of Tennessee (TENN)	Alectoria		TENN-L-0000047	USA		HATTORI-TENNESSEE COOPERATIVE BRYOGEOGRAPHIC COLLECTIONS, 1964-68				1967-07-24		Open face of cliff				A. J. Sharp and Z. Iwatsuki	A389	Alectoria		Alaska				24 July 1967		Across bay from Port Moller	
